Week,Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts
2,#0 Sarah Deng,46,27,5,5,2,7,0,1,0,0,2,0,3
2,#02 Mari Somvichian,37,20,6,4,0,3,0,1,1,0,2,1,4
2,#03 Danae Powell,22,14,4,0,1,0,0,1,0,0,4,0,0
2,#04 Allison Clarke,26,12,5,1,0,6,0,0,0,0,5,0,0
2,#06 Shawnee Nordstrom,62,33,9,2,2,5,1,3,1,0,7,3,2
2,#07 Ana Milanovic,16,5,5,0,2,1,0,1,0,0,3,0,2
2,#08 Shanayka Ismar,24,11,5,1,1,2,0,0,0,0,2,2,3
2,#11 Erica Finney,42,19,11,4,1,3,0,2,0,0,8,2,3
2,#13 Ivana Krajina,27,13,3,0,3,2,1,1,0,0,1,0,2
2,#22 Ali'a Matavao,7,4,1,0,0,2,0,0,0,0,1,0,0
2,#24 Kayla Jones,41,16,12,0,1,7,1,1,1,0,10,0,2
2,#55 Maya Hernandez,25,9,10,0,1,2,0,2,0,0,7,1,3
3,#0 Sarah Deng,26,21,2,0,0,1,0,2,0,0,1,0,1
3,#02 Mari Somvichian,27,18,1,1,0,5,0,0,1,0,1,1,0
3,#03 Danae Powell,16,11,4,0,0,0,0,0,0,0,3,1,1
3,#04 Allison Clarke,20,13,6,0,0,0,0,0,0,1,4,0,2
3,#06 Shawnee Nordstrom,14,11,0,0,0,1,0,1,1,0,0,0,0
3,#07 Ana Milanovic,17,9,3,0,0,1,1,1,0,0,2,1,1
3,#08 Shanayka Ismar,20,13,3,0,0,2,0,0,0,0,1,2,2
3,#11 Erica Finney,27,8,9,2,2,1,0,1,0,0,6,2,3
3,#13 Ivana Krajina,15,12,1,0,0,0,0,2,0,0,1,0,0
3,#22 Ali'a Matavao,4,2,1,0,0,1,0,0,0,0,1,0,0
3,#24 Kayla Jones,28,16,6,1,0,3,0,1,0,1,6,0,0
3,#55 Maya Hernandez,26,13,5,2,1,1,0,3,0,0,5,0,0
