Week,Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts
2,#0 Sarah Deng,46,27,5,5,2,7,0,1,0,0,2,0,3
2,#02 Mari Somvichian,37,20,6,4,0,3,0,1,1,0,2,1,4
2,#03 Danae Powell,22,14,4,0,1,0,0,1,0,0,4,0,0
2,#04 Allison Clarke,26,12,5,1,0,6,0,0,0,0,5,0,0
2,#06 Shawnee Nordstrom,62,33,9,2,2,5,1,3,1,0,7,3,2
2,#07 Ana Milanovic,16,5,5,0,2,1,0,1,0,0,3,0,2
2,#08 Shanayka Ismar,24,11,5,1,1,2,0,0,0,0,2,2,3
2,#11 Erica Finney,42,19,11,4,1,3,0,2,0,0,8,2,3
2,#13 Ivana Krajina,27,13,3,0,3,2,1,1,0,0,1,0,2
2,#22 Ali'a Matavao,7,4,1,0,0,2,0,0,0,0,1,0,0
2,#24 Kayla Jones,41,16,12,0,1,7,1,1,1,0,10,0,2
2,#55 Maya Hernandez,25,9,10,0,1,2,0,2,0,0,7,1,3
3,#0 Sarah Deng,78,53,9,1,4,8,0,3,0,0,7,0,2
3,#02 Mari Somvichian,85,53,11,2,3,11,0,1,1,0,4,3,7
3,#03 Danae Powell,55,32,13,2,2,4,0,1,0,0,12,1,1
3,#04 Allison Clarke,52,26,19,0,1,2,0,0,0,1,15,3,4
3,#06 Shawnee Nordstrom,65,42,13,1,1,2,3,1,1,0,10,1,3
3,#07 Ana Milanovic,37,18,11,0,1,2,1,1,0,0,9,1,2
3,#08 Shanayka Ismar,45,26,8,1,3,3,0,1,0,0,3,2,5
3,#11 Erica Finney,60,20,21,5,2,4,0,3,0,0,17,3,4
3,#13 Ivana Krajina,41,26,8,1,1,1,0,3,0,0,6,0,2
3,#22 Ali'a Matavao,15,3,5,2,2,2,0,1,0,0,2,0,3
3,#24 Kayla Jones,52,25,13,2,2,5,1,1,0,1,11,1,2
3,#55 Maya Hernandez,56,22,18,3,2,4,0,4,1,0,16,1,2
